frame_no,A1_x,A1_y,A1_confidence,A2_x,A2_y,A2_confidence,B1_x,B1_y,B1_confidence,B2_x,B2_y,B2_confidence
1048,1507,408,0.8276271820068359,442,406,0.8168757557868958,16,374,0.7976728677749634,1892,383,0.3
1049,1545,410,0.8053542971611023,441,406,0.4,71,383,0.8326795697212219,1745,404,0.848747968673706
1050,1541,413,0.4,373,410,0.6348319607336612,60,382,0.4,1700,411,0.8322300314903259
1051,1541,413,0.3,372,409,0.4,178,402,0.8450319766998291,1657,417,0.8339241147041321
1052,1666,421,0.8334436416625977,311,437,0.658792560873543,225,410,0.8399996161460876,1614,425,0.7578974962234497
1053,1710,426,0.6688954830169678,310,437,0.4,248,411,0.7354381203857725,1575,431,0.8032627701759338
1054,1755,432,0.8323338031768799,207,430,0.8320464491844177,311,425,0.7616109251976013,1575,423,0.4
1055,1755,428,0.4,161,436,0.8388252258300781,353,434,0.835638165473938,1575,423,0.3
1056,1795,434,0.7114959615650317,113,442,0.4,353,433,0.4,1486,447,0.6186250595838705
1057,1873,448,0.81476257810559,62,451,0.8557973504066467,425,451,0.8447237610816956,1431,459,0.8259002566337585
1161,1763,372,0.8161921501159668,117,288,0.8006155490875244,517,410,0.5892741680145264,1255,364,0.4
1162,1713,375,0.7938171625137329,116,288,0.4,482,407,0.7502239346504211,1255,364,0.3
1163,1667,378,0.6177759170532227,116,288,0.3,445,404,0.4539069831371307,1255,364,0.2
1164,1622,381,0.8009806871414185,348,308,0.8567474484443665,63,503,0.8273908495903015,1463,337,0.7811689972877502
1165,1578,385,0.8378750681877136,414,313,0.8341430425643921,108,507,0.7024672627449036,1532,329,0.5614540576934814
1166,1540,388,0.5955636501312256,471,319,0.519464910030365,107,507,0.4,1598,321,0.8104907870292664
1167,1539,388,0.4,471,319,0.4,147,503,0.3,1673,314,0.8171833157539368
1168,1539,388,0.3,584,334,0.8516761660575867,238,388,0.7788053750991821,1748,307,0.7726454138755798
1169,1539,388,0.2,634,337,0.779533326625824,192,385,0.7879896759986877,1751,307,0.4
1170,1400,404,0.7307498455047607,548,329,0.4,142,384,0.8269013166427612,1751,307,0.3
1171,1399,404,0.4,548,329,0.3,93,382,0.8395137786865234,1751,307,0.2
1172,1399,404,0.3,761,359,0.7907808423042297,42,380,0.82182776927948,1751,307,0.2
1203,830,576,0.7165795723721337,1426,578,0.3,876,533,0.4,1880,502,0.7117863297462463
1204,821,582,0.7256046329210497,1426,578,0.2,876,533,0.3,1884,501,0.4
1205,812,588,0.7546169289326092,1426,578,0.2,876,533,0.2,1903,506,0.3
1290,1600,167,0.4,117,319,0.4880257844924927,476,230,0.4774985313415527,1611,309,0.2
1291,1600,167,0.3,78,322,0.7635704874992371,527,241,0.852655827999115,1611,309,0.2
1292,1217,510,0.6504563104738691,78,322,0.4,587,257,0.7689394011682371,1611,309,0.2
1293,1224,507,0.741141639568941,78,322,0.3,587,256,0.4,1611,309,0.2
1294,1231,504,0.6288121515433458,78,322,0.2,587,256,0.3,1611,309,0.2
1295,1238,501,0.6737651151184011,78,322,0.2,587,256,0.2,1324,384,0.7355085664991405
1296,1244,498,0.7964953919549048,78,322,0.2,587,256,0.2,1323,384,0.4
1297,1249,494,0.4,78,322,0.2,792,310,0.8260898590087891,1323,384,0.3
1298,1258,492,0.6251822832777502,78,322,0.2,832,322,0.8319839239120483,1260,406,0.6975484490394592
1299,1265,489,0.7964953919549048,78,322,0.2,869,334,0.8639390468597412,1260,406,0.4
1300,1270,486,0.4,78,322,0.2,868,339,0.4,1260,406,0.3
1301,1276,483,0.3,78,322,0.2,939,356,0.8881463408470154,1260,406,0.2
1411,1793,409,0.8543787002563477,283,451,0.3857709467411041,569,410,0.4,1451,458,0.764754056930542
1412,1730,425,0.8024829626083374,284,454,0.4,569,410,0.3,1449,457,0.4
1418,1465,498,0.7486438803823434,486,503,0.8332117199897766,216,478,0.7319273722982564,1653,502,0.4339936673641205
1419,1427,510,0.7695098470989923,490,503,0.4,149,497,0.8393521308898926,1648,503,0.4
1420,1385,527,0.8559775948524475,533,518,0.6649990920263368,97,511,0.8378792405128479,1726,521,0.69700688123703
1421,1857,501,0.5978995561599731,565,527,0.7648739218711853,43,525,0.8739617466926575,1739,526,0.7984272359164586
1422,1326,547,0.7862783074378967,564,527,0.4,30,529,0.735508568562059,1739,525,0.4
1433,1099,649,0.7829315191403073,833,636,0.6664853611069185,339,511,0.75020015882688,1849,563,0.2
1434,1084,658,0.7298400636948805,853,646,0.7401169535179237,339,511,0.4,1849,563,0.2
1520,1456,403,0.4,437,365,0.6454157829284668,37,389,0.8152908086776733,1827,360,0.8057796955108643
1521,1456,403,0.3,395,362,0.8380325436592102,84,389,0.8041741251945496,1768,363,0.8369409441947937
1522,1456,403,0.2,353,360,0.8449075222015381,83,388,0.4,1713,366,0.7625335454940796
1523,1456,403,0.2,307,357,0.8356382250785828,83,388,0.3,1661,369,0.8516464829444885
1524,1456,403,0.2,259,356,0.8372892737388611,83,388,0.2,1612,373,0.8580095767974854
1525,1659,388,0.5017409324645996,209,354,0.7975722551345825,83,388,0.2,1567,377,0.7468594312667847
1526,1697,388,0.7242199182510376,209,354,0.4,83,388,0.2,1523,381,0.832915723323822
1527,1736,386,0.8070696592330933,209,354,0.3,327,403,0.7756350040435791,1482,385,0.8446476459503174
1528,1778,385,0.8026478886604309,51,353,0.5211696624755859,326,402,0.4,1444,389,0.6900387406349182
1529,1822,385,0.799939751625061,50,353,0.4,394,408,0.7950153946876526,1443,393,0.4
1530,1866,385,0.8342494964599609,50,353,0.3,425,411,0.7823473215103149,1443,393,0.3
1531,1908,384,0.7117370367050171,50,353,0.2,455,415,0.7385855317115784,1336,404,0.8302398324012756
1557,1878,454,0.7161389589309692,857,205,0.2,964,554,0.7607194515595167,806,570,0.7215195799171936
1558,1889,454,0.4,857,205,0.2,976,561,0.7486279224055142,794,577,0.7488728513810099
1559,1889,454,0.3,857,205,0.2,988,567,0.6981495332093393,782,585,0.7918819624601455
1560,1889,454,0.2,857,205,0.2,1000,573,0.6863827583780918,777,585,0.4
1561,1889,454,0.2,857,205,0.2,1012,580,0.650069349514496,759,600,0.7881059163488464
1636,1888,473,0.7345018982887268,150,479,0.7189280986785889,774,489,0.2,1003,490,0.2
1637,1813,479,0.8598098754882812,220,483,0.7439166903495789,774,489,0.2,1003,490,0.2
1638,1741,483,0.8544808626174927,219,483,0.4,774,490,0.2,1407,497,0.4332154989242553
1639,1754,475,0.4,219,483,0.3,774,489,0.2,1457,499,0.7271013259887695
1640,1754,475,0.3,219,483,0.2,774,489,0.2,1508,503,0.8317015171051025
1641,1552,500,0.8374247550964355,446,500,0.6433759331703186,412,498,0.5840811133384705,1563,508,0.7847017645835876
1642,1498,506,0.8596177101135254,497,503,0.8269669085816331,357,501,0.7973644137382507,1619,512,0.4499663710594177
1643,1447,511,0.4,534,509,0.4397749602794647,294,505,0.8475607633590698,1620,505,0.4
1644,1447,511,0.3,534,508,0.4,233,510,0.7966560125350952,1740,525,0.8199535012245178
1645,1354,524,0.8552461862564087,534,508,0.3,165,515,0.8414634466171265,1810,533,0.7675589919090271
1646,1329,527,0.7677726792717166,653,523,0.5752363801002502,89,522,0.8582605719566345,1809,533,0.4
1647,1268,525,0.4,687,529,0.7045960426330566,21,529,0.8067598342895508,1809,533,0.3
1648,1268,525,0.3,687,528,0.4,7,526,0.8458348514740116,1809,533,0.2
